iso2,iso3,countryCode,callingCode,currencyCode
SG,SGP,702,+65,SGD
SX,SXM,534,+1,XCG
SK,SVK,703,+421,EUR
SI,SVN,705,+386,EUR
SB,SLB,090,+677,SBD
SO,SOM,706,+252,SOS
ZA,ZAF,710,+27,ZAR
GS,SGS,239,+500,GBP
SS,SSD,728,+211,SSP
ES,ESP,724,+34,EUR
LK,LKA,144,+94,LKR
SD,SDN,729,+249,SDG
SR,SUR,740,+597,SRD
SJ,SJM,744,+47,NOK
SZ,SWZ,748,+268,SZL
SE,SWE,752,+46,SEK
CH,CHE,756,+41,CHF
SY,SYR,760,+963,SYP
TW,TWN,158,+886,TWD
TJ,TJK,762,+992,TJS
TZ,TZA,834,+255,TZS
TH,THA,764,+66,THB
TL,TLS,626,+670,USD
TG,TGO,768,+228,XOF
TK,TKL,772,+690,NZD
TO,TON,776,+676,TOP
TT,TTO,780,+1,TTD
TN,TUN,788,+216,TND
TR,TUR,792,+90,TRY
TM,TKM,795,+993,TMT
TC,TCA,796,+1,USD
TV,TUV,798,+688,AUD
UG,UGA,800,+256,UGX
UA,UKR,804,+380,UAH
AE,ARE,784,+971,AED
GB,GBR,826,+44,GBP
US,USA,840,+1,USD
UM,UMI,581,+1,USD
UY,URY,858,+598,UYU
UZ,UZB,860,+998,UZS
VU,VUT,548,+678,VUV
VE,VEN,862,+58,VES
VN,VNM,704,+84,VND
VG,VGB,092,+1,USD
VI,VIR,850,+1,USD
WF,WLF,876,+681,XPF
EH,ESH,732,+212,MAD
YE,YEM,887,+967,YER
ZM,ZMB,894,+260,ZMW
ZW,ZWE,716,+263,ZWG
